score_id,candidate_id,included_order,original_screening_rank,title,project_fit,dataset_evidence_value,method_gap_value,decision_leverage,actual_use_likelihood,evidence_specificity,information_uncertainty,estimated_reading_cost,primary_role,primary_theme,dataset_cluster,task_cluster,modality_cluster,score_confidence,evidence_note,reviewer,model,protocol_version,scored_at,supersedes_score_id,notes
SC_a7b3c2d4,doi:10.1109/iccvw69036.2025.00742,11,12,Decoder-Aware Self-Supervised Continual Pretraining and Uncertainty-Guided Pseudo-Labeling for Wheat Organ Segmentation,3,3,3,2,4,4,3,3,segmentation_method,3d_phenotyping,GWFSS;PlantSeg,semantic_segmentation,RGB,high,Uncertainty-guided pseudo-labeling for wheat organ segmentation; strong benchmark results on GWFSS; continual pretraining approach,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_3393ac93e00f4a3e,doi:10.1002/ps.70881,12,13,<scp>ASVLB</scp> ‐Net: A lightweight network for multispectral weed segmentation with <scp>NDVI</scp> ‐guided adaptive fusion,4,1,3,2,2,4,3,2,segmentation_method,multispectral_reliability,WeedsGalore,semantic_segmentation,multispectral;NDVI;RGB,high,<scp>ASVLB</scp> ‐Net: A lightweight network for multispectral weed segmentation with <scp>NDVI</scp> ‐guided adaptive f,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_144468becb4ae2c2,doi:10.3389/fsufs.2026.1841305,13,14,"A deep learning perception framework for farm digital twins: weed species classification, semantic segmentation, and gradient-based visual interpretability",3,1,1,2,4,4,1,2,segmentation_method,crop_weed_segmentation,MFWD,classification;semantic_segmentation,RGB,high,"A deep learning perception framework for farm digital twins: weed species classification, semantic segmentation, and gra",opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_6eb5677a853c347e,doi:10.3390/jimaging12050192,14,15,Automatic Polygon Annotation of Plant Objects for Training Dataset Preparation in Green Biomass Segmentation Tasks,2,2,2,2,4,3,2,2,segmentation_method,crop_weed_segmentation,WeedsGalore,semantic_segmentation,RGB,medium,Automatic polygon annotation method using HSV color analysis; YOLO11m-seg achieves F1 0.772; IoU 93.22% vs manual,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_9c9ff7bedb6e805d,doi:10.48550/arxiv.2603.29941,15,16,Better than Average: Spatially-Aware Aggregation of Segmentation Uncertainty Improves Downstream Performance,3,1,3,2,1,1,2,2,segmentation_method,other,WeedsGalore,semantic_segmentation,RGB,high,Better than Average: Spatially-Aware Aggregation of Segmentation Uncertainty Improves Downstream Performance,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_33937505f531c0a5,doi:10.3390/app16083745,16,17,ES2-LeafSeg: Lightweight State Space Modeling-Driven Agricultural Leaf Segmentation,3,2,2,2,4,4,2,2,segmentation_method,crop_weed_segmentation,SoyCotton,semantic_segmentation,RGB,high,"Lightweight leaf segmentation with SSM; mIoU 0.817, mDice 0.869, 23.67M params, 49.62 FPS; EfficientNetV2+S2FEM+CSD+GCT on SoyCotton",opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_c9d5601ee466df0d,doi:10.48550/arxiv.2604.09907,17,18,From UAV Imagery to Agronomic Reasoning: A Multimodal LLM Benchmark for Plant Phenotyping,2,4,2,2,1,4,2,2,benchmark_or_challenge,foundation_models,PlantSeg,visual_question_answering,RGB;text,medium,"PlantXpert: 385 images, 3000+ benchmark samples; 11 VLMs evaluated; disease, pest, weed, yield reasoning; Qwen3-VL achieves 78%",opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_953547a2a2656d23,doi:10.1109/cipher70417.2026.11523795,18,19,GTAssure: Ground Truth Quality Assurance Framework for Semantic Segmentation in Precision Agriculture,3,2,3,2,4,3,3,2,dataset_introduction,dataset_quality_and_benchmarking,CWFID;LDSD;MinneApple;NLB;PlantSeg;WGISD,semantic_segmentation,RGB,medium,"GTAssure: automated ground truth quality inspection correcting annotation errors; evaluated on 5 datasets (NLB, LDSD, MinneApple, WGISD, CWFID); addresses data reliability",opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_073b94976845f2f2,doi:10.1002/ppj2.70083,19,21,Pixel‐level supervision resolves overlap: Benchmarking YOLOv12 segmentation for accurate multi‐cluster dry bean stand counting from time series unoccupied aerial systems imagery,3,2,2,2,4,4,2,3,segmentation_method,remote_sensing_uav,MuST-C,instance_segmentation,RGB,medium,"YOLOv12 segmentation for dry bean stand counting from UAS time series; R² 0.972, MAE 3.2, mAP50 0.941; Flask web app",opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_50e674e55c83752f,arxiv:260503784,20,22,ReLeaf: Benchmarking Leaf Segmentation across Domains and Species,3,4,3,2,4,3,2,2,segmentation_method,other,WeedsGalore,instance_segmentation,RGB,high,ReLeaf: Benchmarking Leaf Segmentation across Domains and Species,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_e3e4353188fc126b,doi:10.1109/tgrs.2026.3690653,21,23,RPD: Learning Efficient Crops and Weeds for Field Semantic Segmentation in Drone Images,3,1,2,2,4,3,2,2,segmentation_method,remote_sensing_uav,WeedsGalore,semantic_segmentation,RGB;UAV,high,RPD: Learning Efficient Crops and Weeds for Field Semantic Segmentation in Drone Images,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_98b95319a393e886,doi:10.1016/j.atech.2026.101875,22,24,Unveiling the hidden: Early detection of invasive vegetation in crops with UAV multispectral imaging,4,2,4,3,4,3,3,2,multimodal_or_sensor_method,multispectral_reliability,WeedsGalore,object_detection,RGB;NIR;multispectral,high,RGB-NIR fusion for camouflaged weed detection; 14 fusion + 9 COD models evaluated; NIR consistently improves accuracy; transferable framework,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_3d4e5f6a7b8c9d0e,doi:10.15625/vap.2026.0019,23,25,A Preliminary Study on U-Net for Crop Monitoring Using Low-Altitude Drone Imagery,3,2,2,2,4,3,2,2,segmentation_method,crop_weed_segmentation,WeedsGalore,semantic_segmentation,RGB;multispectral,medium,U-Net variants vs DeepLabV3+ on WeedsGalore; attention model reduces params 21.1%; ResUNet SCSE achieves 77.49% weed IoU; ECE 0.0019 calibration,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_8397144731459a23,doi:10.1109/cict67193.2025.11399080,24,26,"AgriSeg: A Comprehensive Study on Semantic Segmentation for Leaf Disease, Fruit, and Crop-Weed Detection",3,1,2,2,1,2,1,2,segmentation_method,plant_disease_segmentation,PlantSeg,semantic_segmentation;instance_segmentation;object_detection,RGB,high,"AgriSeg: A Comprehensive Study on Semantic Segmentation for Leaf Disease, Fruit, and Crop-Weed Detection",opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_0e1f2a3b4c5d6e7f,doi:10.1109/aict67988.2025.11268618,25,27,Residual-Enhanced YOLO with Motion-Blur Augmentation for UAV-Based Weed Detection,4,2,4,3,4,3,3,2,robustness_or_reliability_method,crop_weed_segmentation,WeedsGalore,object_detection,RGB;UAV,high,YOLO-Res with motion-blur augmentation for UAV weed detection; residual connections for robustness to degraded inputs; directly addresses robustness to motion blur,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_7a69dc2fd66e62a0,doi:10.1016/j.biosystemseng.2025.104147,26,28,3D plant segmentation: Comparing a 2D-to-3D segmentation method with state-of-the-art 3D segmentation algorithms,3,1,1,2,1,2,1,2,3d_or_phenotyping_method,3d_phenotyping,TomatoWUR,semantic_segmentation;instance_segmentation,3D;point_cloud;RGB,high,3D plant segmentation: Comparing a 2D-to-3D segmentation method with state-of-the-art 3D segmentation algorithms,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_a1743df10ca1d544,doi:10.47852/bonviewaia62028867,27,29,Comprehensive Review of Artificial Intelligence and Edge Computing for Precision Weed Control,2,1,3,1,4,3,1,4,survey_or_review,crop_weed_segmentation,MFWD,classification;detection,RGB,medium,Comprehensive Review of Artificial Intelligence and Edge Computing for Precision Weed Control,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_b17c4232bf0634e3,doi:10.3389/fpls.2026.1874446,28,30,Hierarchical vision mamba U-net for farmland semantic segmentation from remote sensing imagery,3,2,2,2,4,3,2,3,segmentation_method,remote_sensing_uav,BAWSeg,semantic_segmentation,RGB,medium,"Vision Mamba U-Net for farmland segmentation; CSVSS block, GFF module, MSSA; linear complexity vs Transformers",opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_dba6cec38a3a4861,doi:10.3390/agronomy15081954,29,31,"Applications, Trends, and Challenges of Precision Weed Control Technologies Based on Deep Learning and Machine Vision",2,1,2,1,1,3,2,2,contextual_background,multispectral_reliability,WeedsGalore,detection;segmentation;classification,RGB;multispectral;UAV,medium,"Applications, Trends, and Challenges of Precision Weed Control Technologies Based on Deep Learning and Machine Vision",opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_3e4f1a2b5c6d7e8f,doi:10.1109/incet64471.2025.11140034,30,32,An Efficient Weed Detection Model using RCNN and YOLO Algorithms,2,1,1,1,2,2,1,1,contextual_background,crop_weed_segmentation,MFWD,object_detection,RGB,low,Basic weed detection comparison of RCNN/YOLO on 1300 sesame images; standard pipeline; limited novelty,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_bd55f76683eb77d4,doi:10.3389/fpls.2024.1356260,31,33,"Revolutionizing agriculture with artificial intelligence: plant disease detection methods, applications, and their limitations",2,1,1,1,1,2,1,2,contextual_background,plant_disease_segmentation,PlantSeg,classification;detection;segmentation,RGB,medium,"Revolutionizing agriculture with artificial intelligence: plant disease detection methods, applications, and their limit",opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_0c1a834452791e4a,doi:10.1371/journal.pone.0256340,32,34,Pheno4D: A spatio-temporal dataset of maize and tomato plant point clouds for phenotyping and advanced plant analysis,2,4,1,1,1,1,1,2,3d_or_phenotyping_method,temporal_phenotyping,Annotated 3D Point Cloud Dataset of Broad-Leaf Legumes;Pheno4D;TomatoPGT ecosystem;TomatoWUR,semantic_segmentation;instance_segmentation,3D;point_cloud;multitemporal,high,Pheno4D: A spatio-temporal dataset of maize and tomato plant point clouds for phenotyping and advanced plant analysis,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_2235f88ef0a5b507,doi:10.1109/jstars.2024.3437469,33,35,Advanced Plant Disease Segmentation in Precision Agriculture Using Optimal Dimensionality Reduction With Fuzzy C-Means Clustering and Deep Learning,3,1,2,2,1,2,1,2,segmentation_method,plant_disease_segmentation,PlantSeg,semantic_segmentation;classification,hyperspectral;remote_sensing,high,Advanced Plant Disease Segmentation in Precision Agriculture Using Optimal Dimensionality Reduction With Fuzzy C-Means C,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_fce998bc08f3bcfc,doi:10.1038/s41597-024-04290-0,34,36,Crops3D: a diverse 3D crop dataset for realistic perception and segmentation toward agricultural applications,3,4,2,2,1,1,1,2,3d_or_phenotyping_method,3d_phenotyping,Crops3D;TomatoPGT ecosystem,semantic_segmentation;instance_segmentation,3D;point_cloud;RGB,high,Crops3D: a diverse 3D crop dataset for realistic perception and segmentation toward agricultural applications,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_dfbd7fe10c94dfe9,doi:10.1016/j.ecoinf.2024.102546,35,38,Weed database development: An updated survey of public weed datasets and cross-season weed detection adaptation,2,4,3,1,1,3,2,4,survey_or_review,multispectral_reliability,WeedsGalore,detection;segmentation,RGB;multispectral,high,Weed database development: An updated survey of public weed datasets and cross-season weed detection adaptation,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_804f00b84b11170c,doi:10.3390/rs16234394,36,39,Deep Learning for Weed Detection and Segmentation in Agricultural Crops Using Images Captured by an Unmanned Aerial Vehicle,3,1,1,2,4,4,1,2,segmentation_method,crop_weed_segmentation,SoyCotton,object_detection;semantic_segmentation,RGB;UAV,high,Deep Learning for Weed Detection and Segmentation in Agricultural Crops Using Images Captured by an Unmanned Aerial Vehi,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_ac163c34110de7dc,doi:10.1109/itechsecom64750.2025.11307551,37,40,Weed and Crop Detection Using YOLOv7: A Step Toward Smarter Precision Agriculture,2,1,2,1,4,3,1,2,contextual_background,crop_weed_segmentation,MFWD,object_detection,RGB,medium,Weed and Crop Detection Using YOLOv7: A Step Toward Smarter Precision Agriculture,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_3d7942e148342b5c,doi:10.3390/agriculture16020215,38,41,Intelligent Evaluation of Rice Resistance to White-Backed Planthopper (Sogatella furcifera) Based on 3D Point Clouds and Deep Learning,2,4,1,1,3,3,2,2,3d_or_phenotyping_method,3d_phenotyping,3D_Rice_WBPH_Damage;TomatoWUR,semantic_segmentation,3D;point_cloud,high,Intelligent Evaluation of Rice Resistance to White-Backed Planthopper (Sogatella furcifera) Based on 3D Point Clouds and,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_f11c8388c677bfa2,doi:10.1016/j.dib.2026.112642,39,42,TomatoPGT: A 3D point cloud dataset of tomato plants for segmentation and plant-trait extraction,2,4,2,2,1,4,2,1,dataset_introduction,3d_phenotyping,TomatoPGT;TomatoWUR,3d_reconstruction,depth,medium,"TomatoPGT: 42 scans of 3 tomato plants; multi-view RGB, dense point clouds, organ annotations, graph representations, phenotypic traits",opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_a0387deefc5fbfaa,doi:10.1016/j.atech.2025.101020,40,43,Sensing Technology for Greenhouse Tomato Production: A Systematic Review,2,1,2,1,1,2,2,4,survey_or_review,multispectral_reliability,Horti-M3-Tomato,classification;detection,multispectral;multimodal,medium,Sensing Technology for Greenhouse Tomato Production: A Systematic Review,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_809de1a763755c3e,doi:10.48550/arxiv.2403.00566,41,44,Lincoln's Annotated Spatio-Temporal Strawberry Dataset (LAST-Straw),2,4,1,2,1,4,2,1,dataset_introduction,3d_phenotyping,LAST-Straw;TomatoWUR;Annotated 3D Point Cloud Dataset,3d_reconstruction,depth,medium,"LAST-Straw: 84 spatio-temporal 3D point clouds of 2 strawberry varieties; segmentation, skeletonisation, tracking pipeline; in silico phenotype ground truth",opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_9f9690e48bf61ebf,doi:10.1109/iros60139.2025.11246612,42,45,Wireless Collaborative Inference Acceleration Based on Distillation for Weed Detection and Instance Segmentation,3,1,1,2,4,3,2,2,segmentation_method,crop_weed_segmentation,WeedsGalore,instance_segmentation;object_detection,RGB,high,Wireless Collaborative Inference Acceleration Based on Distillation for Weed Detection and Instance Segmentation,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_1a117322fab44a0b,doi:10.1016/j.compag.2024.109607,43,47,An automatic 3D tomato plant stemwork phenotyping pipeline at internode level based on tree quantitative structural modelling algorithm,2,1,3,1,1,3,1,3,3d_or_phenotyping_method,3d_phenotyping,TomatoWUR,semantic_segmentation,3D;point_cloud;RGB,medium,An automatic 3D tomato plant stemwork phenotyping pipeline at internode level based on tree quantitative structural mode,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_2ba85a6afd092354,doi:10.48550/arxiv.2404.02580,44,48,Active learning for efficient annotation in precision agriculture: a use-case on crop-weed semantic segmentation,3,1,2,2,1,2,2,2,segmentation_method,crop_weed_segmentation,Corn-Weed;Sugarbeet;WeedsGalore,semantic_segmentation,RGB,high,Active learning for efficient annotation in precision agriculture: a use-case on crop-weed semantic segmentation,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_0a0219c2c6eca9ba,doi:10.1109/iros58592.2024.10802820,45,49,BonnBeetClouds3D: A Dataset Towards Point Cloud-Based Organ-Level Phenotyping of Sugar Beet Plants Under Real Field Conditions,2,4,2,1,1,2,1,2,3d_or_phenotyping_method,3d_phenotyping,BonnBeetClouds3D;MuST-C,instance_segmentation,3D;point_cloud;UAV,high,BonnBeetClouds3D: A Dataset Towards Point Cloud-Based Organ-Level Phenotyping of Sugar Beet Plants Under Real Field Cond,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_372fef91bc62a2f7,doi:10.3390/plants15081218,46,50,"Ground Mobile Robots for High-Throughput Plant Phenotyping: A Review from the Closed-Loop Perspective of Perception, Decision, and Action",2,1,2,1,1,1,2,4,survey_or_review,orchard_robotics,MuST-C,perception;localization;planning,multimodal;UAV;UGV,medium,"Ground Mobile Robots for High-Throughput Plant Phenotyping: A Review from the Closed-Loop Perspective of Perception, Dec",opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
SC_k6l7m8n9,doi:10.1016/j.compag.2022.107388,47,51,Deep learning-based early weed segmentation using motion blurred UAV images of sorghum fields,4,2,4,3,4,4,3,2,robustness_or_reliability_method,crop_weed_segmentation,MFWD;UAVWeedSegmentation;WeedsGalore,semantic_segmentation,RGB,high,Motion blur robust weed segmentation in UAV sorghum images; three DL architectures compared; generalization under blur; directly relevant to corrupted inputs,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_5a9629e1df182b48,doi:10.3390/agriculture13071321,48,52,Soybean-MVS: Annotated Three-Dimensional Model Dataset of Whole Growth Period Soybeans for 3D Plant Organ Segmentation,3,4,1,2,1,2,1,2,3d_or_phenotyping_method,3d_phenotyping,Annotated 3D Point Cloud Dataset of Broad-Leaf Legumes;Soybean-MVS;TomatoPGT ecosystem;TomatoWUR,semantic_segmentation,3D;point_cloud,high,Soybean-MVS: Annotated Three-Dimensional Model Dataset of Whole Growth Period Soybeans for 3D Plant Organ Segmentation,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_ad03838a34400224,doi:10.1109/tpami.2024.3419548,49,53,PhenoBench: A Large Dataset and Benchmarks for Semantic Image Interpretation in the Agricultural Domain,2,4,2,1,1,2,1,2,dataset_introduction,dataset_quality_and_benchmarking,MuST-C;PhenoBench;WeedsGalore,semantic_segmentation;instance_segmentation,RGB;UAV,high,PhenoBench: A Large Dataset and Benchmarks for Semantic Image Interpretation in the Agricultural Domain,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_e5b673748bf75f6e,doi:10.1109/iros60139.2025.11246227,50,54,Zero-Shot Semantic Segmentation for Robots in Agriculture,3,1,1,2,4,2,1,2,segmentation_method,orchard_robotics,MuST-C,semantic_segmentation,RGB,high,Zero-Shot Semantic Segmentation for Robots in Agriculture,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_8f9a0b1c2d3e4f5a,doi:10.1109/dicta63115.2024.00095,51,55,Multispectral Remote Sensing for Weed Detection in West Australian Agricultural Lands,3,3,3,2,4,3,2,3,dataset_introduction,multispectral_reliability,BAWSeg;Kondinin_Weed_MS,classification,multispectral,high,Multispectral UAV weed dataset from Kondinin WA; 0.6 km² over 4 years; ResNet achieves 0.9213 accuracy; NDVI/GNDVI/EVI/SAVI/MSAVI features,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_8c9d0e1f2a3b4c5d,doi:10.1109/iccraids67816.2026.11519698,52,56,A Comparative Study of Deep Learning and Classical Image Segmentation Methods for Damaged Flower Image Analysis,1,1,1,1,2,2,1,1,contextual_background,plant_disease_segmentation,PlantSeg,semantic_segmentation,RGB,low,Basic comparison of U-Net/TransUNet vs Otsu/Region Growing for flower damage segmentation; limited agricultural relevance,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_9cdd36b8615b179c,arxiv:260522366,53,57,AgroTools: A Benchmark for Tool-Augmented Multimodal Agents in Agriculture,2,4,2,2,1,4,2,2,benchmark_or_challenge,multimodal_fusion,AgroTools;PlantSeg,visual_question_answering,RGB;multimodal,medium,"AgroTools: 539 Q-A instances, 1097 images, 14 tools, 5 task families; 13 MLLMs benchmarked with tool-use traces",opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
SC_y7z8a9b0,doi:10.3389/fpls.2025.1655391,54,58,Deep learning-based temporal change detection of broadleaved weed infestation in rice fields using UAV multispectral imagery,3,2,2,2,3,3,2,2,segmentation_method,crop_weed_segmentation,WeedsGalore,change_detection,multispectral,medium,Temporal change detection of broadleaved weeds in rice using UAV multispectral imagery; DFNN classification; SSWM implications,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
