acquisition_batch_id,ranking_position,candidate_id,original_screening_rank,title,priority_score,ranking_run_id
FAB_20260803T124830Z,35,titleyear:instance segmentation dataset:2020,409,: Instance segmentation dataset,6.0,
FAB_20260803T124830Z,36,doi:10.1109/iccvw60793.2023.00065,111,Semantic Segmentation of Crops and Weeds with Probabilistic Modeling and Uncertainty Quantification,12.614,
FAB_20260803T124830Z,37,doi:10.3390/rs10020285,159,An Automatic Random Forest-OBIA Algorithm for Early Weed Mapping between and within Crop Rows Using UAV Imagery,11.45,
FAB_20260803T124830Z,38,doi:10.3390/agronomy14061178,289,HPPEM: A High-Precision Blueberry Cluster Phenotype Extraction Model Based on Hybrid Task Cascade,8.454,
FAB_20260803T124830Z,39,doi:10.1016/j.array.2025.100412,166,"Application of artificial intelligence in agri-tech, environmental and biodiversity conservation",11.301,
FAB_20260803T124830Z,40,doi:10.1109/lra.2023.3288383,241,High Precision Leaf Instance Segmentation for Phenotyping in Point Clouds Obtained Under Real Field Conditions,9.362,
FAB_20260803T124830Z,41,doi:10.3390/agronomy13071846,118,Weed Identification in Maize Fields Based on Improved Swin-Unet,12.556,
FAB_20260803T124830Z,42,doi:10.1109/iccca52192.2021.9666441,232,Investigation on Object Detection Models for Plant Disease Detection Framework,9.5,
FAB_20260803T124830Z,43,doi:10.3390/s23073670,259,Weed Detection Using Deep Learning: A Systematic Literature Review,9.004,
FAB_20260803T124830Z,44,doi:10.1109/iros47612.2022.9982017,342,Optical flow-based branch segmentation for complex orchard environments,7.176,
FAB_20260803T124830Z,45,titleyear:tomato multi angle multi pose dataset for fine grained phenotyping:,463,Tomato Multi-Angle Multi-Pose Dataset for Fine-Grained Phenotyping,4.5,
FAB_20260803T124830Z,46,doi:10.1186/s13007-020-00699-x,327,"Accurate machine learning-based germination detection, prediction and quality assessment of three grain crops",7.557,
FAB_20260803T124830Z,47,titleyear:leaf disease dataset:1973,521,Leaf Disease Dataset,3.0,
FAB_20260803T124830Z,48,doi:10.1109/mm.2021.3134744,203,Challenges and Opportunities for Autonomous Micro-UAVs in Precision Agriculture,10.153,
FAB_20260803T124830Z,49,doi:10.3390/rs12132136,243,Comparison of Object Detection and Patch-Based Classification Deep Learning Models on Mid- to Late-Season Weed Detection in UAV Imagery,9.32,
FAB_20260803T124830Z,50,doi:10.1016/j.biosystemseng.2023.08.010,224,The added value of 3D point clouds for digital plant phenotyping – A case study on internode length measurements in cucumber,9.633,
